NAICS_Code,NAICS_Title,NAICS_Description,Hiscox_COB,COB_Group,PL,GL,BOP,Cyber,full_industry_code
325199,All Other Basic Organic Chemical Manufacturing ,Acrolein manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Acrylonitrile manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Adipic acid esters or amines manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Adipic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Adiponitrile manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Aldehydes manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Alginates (e.g., calcium, potassium, sodium) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Alginic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Amyl acetate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Biodiesel fuels not made in petroleum refineries and not blended with petroleum,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Biofuels not made in petroleum refineries and not blended with petroleum,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Bleaching agents, organic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Bromochloromethane manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Butadiene made from alcohol,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Butyl acetate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Calcium citrate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Calcium organic compounds, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Calcium oxalate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Camphor, synthetic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Caprolactam manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Carbinol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Carbon organic compounds, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Carbon tetrachloride manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Cellulose acetate (except resins) manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Cetyl alcohol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Chloral manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Chloroacetic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Chloroform manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Chloropicrin manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Citral manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Citrates, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Citric acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Citronellal manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Coumarin manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Cream of tartar manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Decahydronaphthalene manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Diethylene glycol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Dimethyl divinyl acetylene (di-isopropenyl acetylene) manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Dimethylhydrazine manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Enzyme proteins (i.e., basic synthetic chemicals) (except pharmaceutical use) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Essential oils, synthetic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Esters, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Ethyl acetate, synthetic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethyl butyrate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethyl cellulose (except resins) manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethyl chloride manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethyl ether manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethyl formate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethyl nitrite manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethyl perhydrophenanthrene manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethylene glycol ether manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethylene glycol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ethylene oxide manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Fatty acid esters and amines manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Fatty acids (e.g., margaric, oleic, stearic) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Fatty alcohols manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Flavoring materials (i.e., basic synthetic chemicals such as coumarin) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Formaldehyde manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Formalin manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Formic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Fuel propellants, solid organic, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Geraniol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Glycerin (i.e., glycerol), synthetic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Halogenated hydrocarbon derivatives (except aromatic) manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Heterocyclic chemicals, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Hexadecanol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Hexamethylenediamine manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Hexamethylenetetramine manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Hexanol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Ionone manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Isopropyl alcohol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Ketone compounds, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Lactic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Lauric acid esters and amines manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Linoleic acid esters and amines manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Malonic dinitrile manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Margaric acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Metallic soap manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Methyl alcohol (i.e., methanol), synthetic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Methyl chloride manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Methyl perhydrofluorine manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Methyl salicylate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Methylamine manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Methylene chloride manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Monomethylparaminophenol sulfate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Monosodium glutamate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Naphthenic acid soaps manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Natural nonfood coloring manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Nitrous ether manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Oleic acid (i.e., red oil) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Oleic acid esters manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Organo-inorganic compound manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Oxalates (e.g., ammonium oxalate, ethyl oxalate, sodium oxalate) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Oxalic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Palmitic acid esters and amines manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Pentaerythritol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Perchloroethylene manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Perfume materials (i.e., basic synthetic chemicals, such as terpineol) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Peroxides, organic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Phosgene manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Phosphoric acid esters manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Phthalate acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Plasticizers (i.e., basic synthetic chemicals) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Polyhydric alcohol esters and amines manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Polyhydric alcohols manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Potassium bitartrate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Potassium organic compounds, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Propylcarbinol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Propylene glycol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Raw organic waxes manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Red oil (i.e., oleic acid) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Refrigerant mixtures and blends manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Saccharin manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Salicylic acid (except medicinal) manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sebacic acid esters manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sebacic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Silicone (except resins) manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sodium acetate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sodium alginate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sodium benzoate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sodium glutamate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Sodium organic compounds, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sodium pentachlorophenate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sodium sulfoxalate formaldehyde manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Sorbitol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Stearic acid esters manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Stearic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Stearic acid salts manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Sugar substitutes (i.e., synthetic sweeteners blended with other ingredients) made in synthetic sweetener establishments",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Synthetic sweeteners (i.e., sweetening agents) manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Tanning agents, synthetic organic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Tartaric acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Tartrates, not specified elsewhere by process, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Tear gas manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Terpineol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Tert-butylated bis (p-phenoxyphenyl) ether fluid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Tetrachloroethylene manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Tetraethyl lead manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Thioglycolic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Transesterification of vegetable oils to produce fuels or fuel additives,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Trichloroethylene manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Trichlorophenoxyacetic acid manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Tricresyl phosphate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Tridecyl alcohol manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Triphenyl phosphate manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Vanillin, synthetic, manufacturing",OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,Vinyl acetate (except resins) manufacturing,OOA,     ,No,No,No,No,0
325199,All Other Basic Organic Chemical Manufacturing ,"Wood alcohol, synthetic, manufacturing",OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Acetal resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Acrylic resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Acrylonitrile-butadiene-styrene (ABS) resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Alkyd resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Allyl resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Amino resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Amino-aldehyde resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Butadiene copolymers containing less than 50 percent butadiene manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Carbohydrate plastics manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Casein plastics manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Cellulose acetate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Cellulose nitrate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Cellulose propionate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Cellulose resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Cellulose xanthate (viscose) manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Coal tar resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Coumarone-indene resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Cresol resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Cresol-furfural resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Dicyandiamine resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Diisocyanate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Elastomers (except synthetic rubber) manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Epichlorohydrin bisphenol manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Epichlorohydrin diphenol manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Epoxy resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Ester gum manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Ethylcellulose plastics manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Ethylene-vinyl acetate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Fluorohydrocarbon resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Fluoro-polymer resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Ion exchange resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Ionomer resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Isobutylene polymer resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Lignin plastics manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Melamine resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Methyl acrylate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Methyl cellulose resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Methyl methacrylate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,"Nitrocellulose (i.e., pyroxylin) resins manufacturing",OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Nylon resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Petroleum polymer resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Phenol-formaldehyde resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Phenol-furfural resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Phenolic resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Phenoxy resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Phthalic alkyd resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Phthalic anhydride resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,"Plastics and synthetic resins regenerating, precipitating, and coagulating",OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyacrylonitrile resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyamide resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polycarbonate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyester resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyethylene resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyethylene terephthalate (PET) resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyhexamethylenediamine adipamide resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyisobutylene resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polymethacrylate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polypropylene resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polystyrene resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polytetrafluoroethylene resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyurethane resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyvinyl alcohol resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyvinyl chloride (PVC) resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyvinyl halide resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Polyvinyl resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Propylene resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Protein plastics manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,"Pyroxylin (i.e., nitrocellulose) resins manufacturing",OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,"Resins, plastics (except custom compounding purchased resins), manufacturing",OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,"Rosins (i.e., modified resins) manufacturing",OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Silicone resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Soybean plastics manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Styrene resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Styrene-acrylonitrile resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Tar acid resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Thermoplastic resins and plastics materials manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Thermosetting plastics resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Urea resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Urea-formaldehyde resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Vinyl acetate resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Vinyl chloride resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Vinyl resins manufacturing,OOA,     ,No,No,No,No,0
325211,Plastics Material and Resin Manufacturing ,Vinylidene resins manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Acrylate rubber manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Acrylate-butadiene rubber manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Acrylic rubber manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Butadiene copolymers containing more than 50 percent butadiene manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,"Butadiene rubber (i.e., polybutadiene) manufacturing",OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Butyl rubber manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,"Chlorinated rubber, synthetic, manufacturing",OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Chloroprene rubber manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Chlorosulfonated polyethylenes manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,"Cyclo rubber, synthetic, manufacturing",OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,"Elastomers, synthetic rubber, manufacturing",OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Epichlorohydrin elastomers manufacturing,OOA,     ,No,No,No,No,0
325212,Synthetic Rubber Manufacturing ,Ethylene-propylene rubber manufacturing,OOA,     ,No,No,No,No,0
